rank,tier,zip,state,owner,units,fhfa_a1
2152,B,74008,OK,8850,12447,7.98
2153,B,44004,OH,8848,15262,3.7
2154,B,48080,MI,8848,11424,3.89
2155,B,24112,VA,8845,15999,6.87
2156,B,43420,OH,8837,13876,2.68
2157,B,38135,TN,8836,11166,0.61
2158,B,14626,NY,8834,13717,1.46
2159,B,78244,TX,8832,12978,-1.77
2160,B,60516,IL,8830,11912,4.63
2161,B,29150,SC,8827,17658,7.15
2162,B,70122,LA,8826,17131,-3.96
2163,B,11414,NY,8826,12223,15.28
2164,B,60110,IL,8826,12297,8.56
2165,B,49505,MI,8824,14197,2.28
2166,B,98902,WA,8822,17723,1.96
2167,B,73162,OK,8822,12454,2.63
2168,B,39532,MS,8821,15466,-0.45
2169,B,43229,OH,8818,23290,3.19
2170,B,44805,OH,8817,13248,5.18
2171,B,35811,AL,8816,12314,0.47
2172,B,97301,OR,8815,21419,1.38
2173,B,58701,ND,8815,16267,0.78
2174,B,32503,FL,8811,14419,4.01
2175,B,54401,WI,8811,14230,8.96
2176,B,89081,NV,8810,14166,9.08
2177,B,90266,CA,8810,14945,15.69
2178,B,75048,TX,8807,10445,1.26
2179,B,02368,MA,8806,13091,5.3
2180,B,38506,TN,8804,13018,4.25
2181,B,92220,CA,8798,13258,10.22
2182,B,85741,AZ,8795,14985,0.22
2183,B,45459,OH,8790,13988,4.83
2184,B,06410,CT,8789,10463,4.6
2185,B,78232,TX,8787,16369,3.6
2186,B,60048,IL,8787,10826,6.61
2187,B,24502,VA,8786,18576,3.08
2188,B,33156,FL,8784,13215,8.69
2189,B,33570,FL,8784,14049,6.17
2190,B,53214,WI,8783,17530,6.25
2191,B,08046,NJ,8780,11482,7.67
2192,B,92694,CA,8779,12424,14.67
2193,B,98312,WA,8779,14450,6.19
2194,B,21146,MD,8779,10329,3.23
2195,B,80923,CO,8776,12905,1.86
2196,B,20815,MD,8776,14192,-3.84
2197,B,32507,FL,8775,19131,-4.57
2198,B,46203,IN,8775,18057,0.14
2199,B,29209,SC,8774,16520,1.04
